Parameter,Object,Writable,Value,Value type
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.PrefixInfoMaxEntries,false,false,16,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.PrefixInfoNumberOfEntries,false,false,0,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_BusyToneTime,false,true,40000,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.1,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.1.DigitMap,false,true,[ABCD*#X].T,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.1.Route,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.1.Type,false,false,0,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.2,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.2.DigitMap,false,true,2222,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.2.Route,false,true,1,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.2.Type,false,false,1,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.3,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.3.DigitMap,false,true,3333,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.3.Route,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.3.Type,false,false,2,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.4,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.4.DigitMap,false,true,963,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.4.Route,false,true,2,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_DigitMap.4.Type,false,false,3,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_HowlToneTime,false,true,60000,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_IncomPrefixInfo,true,true,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_IncomSuffixInfo,true,true,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_OutgoPrefixInfo,true,true,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_OutgoSuffixInfo,true,true,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_StartDigitTimerStd,false,true,10000,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.X_HUAWEI_UnResponseInterval,false,true,60000,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.RTP,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.RTP.LocalPortMin,false,true,50000,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.RTP.X_HUAWEI_JitterBuffer,false,true,true,xsd:boolean
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.RTP.X_HUAWEI_JitterBufferLength,false,true,20,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.RTP.X_HUAWEI_JitterBufferType,false,true,1,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.RTP.X_HUAWEI_PackLostCompensate,false,true,true,xsd:boolean
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Region,false,true,IQ,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.ProxyServer,false,true,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.ProxyServerPort,false,true,5060,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.RegisterExpires,false,true,300,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.RegisterRetryInterval,false,true,900,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.RegistrarServer,false,true,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.RegistrarServerPort,false,true,5060,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.SIPEventSubscribeNumberOfElements,false,false,1,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_HUAWEI_InterfaceName,false,false,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_HUAWEI_MinSessionExpires,false,true,90,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_HUAWEI_OptionTime,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_HUAWEI_OptionTime.IntervalTime,false,true,30,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_HUAWEI_OptionTime.OptionsType,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_HUAWEI_PrackSupport,false,true,false,xsd:boolean
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_HUAWEI_SIPDomain,false,true,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_HUAWEI_SecondRegistrarServer,false,true,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_HUAWEI_SecondRegistrarServerPort,false,true,5060,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_HUAWEI_SecondSIPDomain,false,true,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_HUAWEI_SessionExpires,false,true,3600,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_HUAWEI_UrgencyUsePriority,false,true,true,xsd:boolean
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.STUNServer,false,true,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.X_HUAWEI_EnableSharpKey,false,true,true,xsd:boolean
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.X_HUAWEI_FaxOption,false,true,G.711A FAX Passthrough,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.X_HUAWEI_HotLineNumber,false,true,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.X_HUAWEI_STUNServerPort,false,true,3478,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfileNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.Services.X_HUAWEI_ALGAbility,true,false,,
InternetGatewayDevice.Services.X_HUAWEI_ALGAbility.H323Enable,false,true,true,xsd:boolean
InternetGatewayDevice.Services.X_HUAWEI_ALGAbility.IPSECEnable,false,true,true,xsd:boolean
InternetGatewayDevice.Services.X_HUAWEI_ALGAbility.L2TPEnable,false,true,true,xsd:boolean
InternetGatewayDevice.Services.X_HUAWEI_ALGAbility.PPTPEnable,false,true,true,xsd:boolean
InternetGatewayDevice.Services.X_HUAWEI_ALGAbility.RTSPEnable,false,true,true,xsd:boolean
InternetGatewayDevice.Services.X_HUAWEI_ALGAbility.SIPEnable,false,true,false,xsd:boolean
InternetGatewayDevice.Services.X_HUAWEI_ALGAbility.SIPPort,false,true,5060,xsd:unsignedInt
InternetGatewayDevice.Services.X_HUAWEI_ALGAbility.SIPWanPath,false,true,,xsd:string
InternetGatewayDevice.Time,true,false,,
InternetGatewayDevice.Time.CurrentLocalTime,false,false,2013-08-16T17:14:42.000Z,xsd:dateTime
InternetGatewayDevice.Time.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.Time.LocalTimeZoneName,false,true,GMT+03:00,xsd:string
InternetGatewayDevice.Time.NTPServer1,false,true,clock.fmt.he.net,xsd:string
InternetGatewayDevice.Time.NTPServer2,false,true,clock.nyc.he.net,xsd:string
InternetGatewayDevice.Time.NTPServer3,false,true,clock.sjc.he.net,xsd:string
InternetGatewayDevice.Time.NTPServer4,false,true,clock.via.net,xsd:string
InternetGatewayDevice.Time.NTPServer5,false,true,,xsd:string
InternetGatewayDevice.Time.Status,false,false,Synchronized,xsd:string
InternetGatewayDevice.UserInterface,true,false,,
InternetGatewayDevice.UserInterface.X_HUAWEI_Cli,true,false,,
InternetGatewayDevice.UserInterface.X_HUAWEI_Cli.UserInfo,true,false,,
InternetGatewayDevice.UserInterface.X_HUAWEI_Cli.UserInfo.1,true,false,,
InternetGatewayDevice.UserInterface.X_HUAWEI_Cli.UserInfo.1.Userlevel,false,false,0,xsd:unsignedInt
InternetGatewayDevice.UserInterface.X_HUAWEI_Cli.UserInfo.1.Username,false,true,FANOOSADMIN,xsd:string
InternetGatewayDevice.UserInterface.X_HUAWEI_Cli.UserInfo.1.Userpassword,false,true,,xsd:string
InternetGatewayDevice.UserInterface.X_HUAWEI_Web,true,false,,
InternetGatewayDevice.UserInterface.X_HUAWEI_Web.FirstLogin,false,true,true,xsd:boolean
InternetGatewayDevice.UserInterface.X_HUAWEI_Web.Timeout,false,true,5,xsd:unsignedInt
InternetGatewayDevice.UserInterface.X_HUAWEI_Web.UserInfo,true,false,,
InternetGatewayDevice.UserInterface.X_HUAWEI_Web.UserInfo.1,true,false,,
InternetGatewayDevice.UserInterface.X_HUAWEI_Web.UserInfo.1.UserLevel,false,true,2,xsd:unsignedInt
InternetGatewayDevice.UserInterface.X_HUAWEI_Web.UserInfo.1.Username,false,true,maxnet,xsd:string
InternetGatewayDevice.UserInterface.X_HUAWEI_Web.UserInfo.1.Userpassword,false,true,,xsd:string
InternetGatewayDevice.UserInterface.X_HUAWEI_Web.UserInfo.2,true,false,,
InternetGatewayDevice.UserInterface.X_HUAWEI_Web.UserInfo.2.UserLevel,false,true,1,xsd:unsignedInt
InternetGatewayDevice.UserInterface.X_HUAWEI_Web.UserInfo.2.Username,false,true,WLAN,xsd:string
InternetGatewayDevice.UserInterface.X_HUAWEI_Web.UserInfo.2.Userpassword,false,true,,xsd:string
InternetGatewayDevice.WANDevice,true,false,,
InternetGatewayDevice.WANDevice.1,true,false,,
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig,true,false,,
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.Connection,true,false,,
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.Connection.1,true,false,,
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.Connection.1.ActiveConnectionDeviceContainer,false,false,InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1,xsd:string
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.Connection.1.ActiveConnectionServiceID,false,false,InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1,xsd:string
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.Layer1DownstreamMaxBitRate,false,false,100000000,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.Layer1UpstreamMaxBitRate,false,false,100000000,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.MaximumActiveConnections,false,false,1,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.NumberOfActiveConnections,false,false,1,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.PhysicalLinkStatus,false,false,Up,xsd:string
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.TotalBytesReceived,false,false,971470946,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.TotalBytesSent,false,false,357834487,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.TotalPacketsReceived,false,false,1260279,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.TotalPacketsSent,false,false,1387476,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.WANAccessProvider,false,false,HUAWEI,xsd:string
InternetGatewayDevice.WANDevice.1.WANCommonInterfaceConfig.WANAccessType,false,false,WiMAX,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice,true,true,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1,true,true,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.Name,false,false,eth1,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection,true,true,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1,true,true,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.AddressingType,false,true,DHCP,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.AutoDisconnectTime,false,true,0,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.ConnectionStatus,false,false,Connected,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.ConnectionTrigger,false,true,AlwaysOn,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.ConnectionType,false,true,IP_Routed,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.DNSEnabled,false,true,true,xsd:boolean
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.DNSOverrideAllowed,false,true,true,xsd:boolean
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.DNSServers,false,true,"5.42.195.218,5.42.195.219",xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.DefaultGateway,false,true,172.16.0.1,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.ExternalIPAddress,false,true,172.3.89.139,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.LastConnectionError,false,false,ERROR_USER_DISCONNECT,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.MACAddress,false,false,20:2B:C1:E0:06:65,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.MACAddressOverride,false,true,false,xsd:boolean
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.MaxMTUSize,false,true,1400,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.NATEnabled,false,true,1,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Name,false,false,WAN1_INTERNET_TR069_VOICE_R,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PortMapping,true,true,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PortMappingNumberOfEntries,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PossibleConnectionTypes,false,false,"IP_Routed,IP_Bridged",xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Reset,false,true,false,xsd:boolean
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.RouteProtocolRx,false,true,Off,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Stats,true,false,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Stats.EthernetBytesReceived,false,false,971470946,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Stats.EthernetBytesSent,false,false,357834487,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Stats.EthernetDiscardPacketsReceived,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Stats.EthernetDiscardPacketsSent,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Stats.EthernetErrorsReceived,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Stats.EthernetErrorsSent,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Stats.EthernetPacketsReceived,false,false,1260279,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Stats.EthernetPacketsSent,false,false,1387476,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.SubnetMask,false,true,255.255.0.0,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Uptime,false,false,62703,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_HUAWEI_DHCPRelay,false,true,false,xsd:boolean
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_HUAWEI_DMZ,true,false,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_HUAWEI_DMZ.DMZEnable,false,true,false,xsd:boolean
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_HUAWEI_DMZ.DMZHostIPAddress,false,true,,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_HUAWEI_PortTrigger,true,true,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_HUAWEI_PortTriggerNumberOfEntries,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.X_HUAWEI_ServiceList,false,true,INTERNET_TR069_VOICE,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnectionNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection,true,true,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnectionNumberOfEntries,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WiMAXLinkConfig,true,false,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WiMAXLinkConfig.SubscriptionParametersIdentifier,false,false,,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig,true,false,,
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.ActiveOperator,true,false,,
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.ActiveOperator.ChannelPlanIdentifier,false,false,,xsd:string
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.ActiveOperator.NetworkProviderIdentifier,false,false,,xsd:string
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.ActiveOperator.OperaterProfileIdentifier,false,false,,xsd:string
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.Layer3Capability,true,false,,
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.Layer3Capability.CMIPv4Support,false,false,false,xsd:boolean
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.Layer3Capability.CMIPv6Support,false,false,false,xsd:boolean
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.Layer3Capability.IPv4Support,false,false,false,xsd:boolean
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.Layer3Capability.IPv6Support,false,false,false,xsd:boolean
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.RadioModule,true,false,,
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.RadioModule.HardwareVersion,false,false,,xsd:string
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.RadioModule.MACAddress,false,false,,xsd:string
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.RadioModule.Manufacturer,false,false,,xsd:string
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.RadioModule.Model,false,false,,xsd:string
InternetGatewayDevice.WANDevice.1.WiMAXInterfaceConfig.RadioModule.SoftwareVersion,false,false,,xsd:string
InternetGatewayDevice.WANDeviceNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.WiMAX,true,false,,
InternetGatewayDevice.WiMAX.Antenna,true,false,,
InternetGatewayDevice.WiMAX.Antenna.AntennaState,false,true,false,xsd:boolean
InternetGatewayDevice.WiMAX.Certificate,true,false,,
InternetGatewayDevice.WiMAX.Certificate.CertificateName,false,false,,xsd:string
InternetGatewayDevice.WiMAX.ServerFlow,true,false,,
InternetGatewayDevice.WiMAX.ServerFlow.ArqBlockLifetime,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.ArqBlockSize,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.ArqEnable,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.ArqReceiverDelay,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.ArqRxPurgeTimeout,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.ArqSyncLossTimeout,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.ArqTransmitterDelay,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.ArqWindowSize,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.BroadcastBwrEnabled,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.Classifier1,false,false,,xsd:string
InternetGatewayDevice.WiMAX.ServerFlow.Classifier1PhsNumber,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.Classifier2,false,false,,xsd:string
InternetGatewayDevice.WiMAX.ServerFlow.Classifier2PhsNumber,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.Classifier3,false,false,,xsd:string
InternetGatewayDevice.WiMAX.ServerFlow.Classifier3PhsNumber,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.Classifier4,false,false,,xsd:string
InternetGatewayDevice.WiMAX.ServerFlow.Classifier4PhsNumber,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.ClassifierType1,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.ClassifierType2,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.ClassifierType3,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.ClassifierType4,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.CrcEnabled,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.Cs,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_ArqBlockLifetime,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_ArqBlockSize,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_ArqEnable,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_ArqReceiverDelay,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_ArqRxPurgeTimeout,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_ArqSyncLossTimeout,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_ArqTransmitterDelay,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_ArqWindowSize,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_BroadcastBwrEnabled,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_Classifier1,false,false,,xsd:string
InternetGatewayDevice.WiMAX.ServerFlow.D_Classifier1PhsNumber,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_Classifier2,false,false,,xsd:string
InternetGatewayDevice.WiMAX.ServerFlow.D_Classifier2PhsNumber,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_Classifier3,false,false,,xsd:string
InternetGatewayDevice.WiMAX.ServerFlow.D_Classifier3PhsNumber,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_Classifier4,false,false,,xsd:string
InternetGatewayDevice.WiMAX.ServerFlow.D_Classifier4PhsNumber,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_CrcEnabled,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_Cs,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_Direction,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_FragmentationEnabled,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_GrantInterval,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_HarqAcids,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_HarqEnable,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_HarqLatency,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_HarqPduSn,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_MaxLatency,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_Maxrate,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_Minrate,false,false,0,xsd:unsignedInt
InternetGatewayDevice.WiMAX.ServerFlow.D_MulticastBwrEnabled,false,false,0,xsd:unsignedInt
